date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2015-02-03,6,006,213.43,473.82,260.39,734.21,-10237.0,10237.0,29603.83
2015-02-04,1,北向_滬股通,1096.1,2108.27,1012.17,3120.44,2167.0,10833.0,83866.35
2015-02-04,2,南向_港股通滬,-77.84,335.82,413.66,749.48,-10509.0,10509.0,29525.99
2015-02-04,5,合計,1096.1,2108.27,1012.17,3120.44,2167.0,10833.0,83866.35
2015-02-04,6,006,-77.84,335.82,413.66,749.48,-10509.0,10509.0,29525.99
2015-02-05,1,北向_滬股通,2833.28,5057.51,2224.23,7281.74,3806.0,9194.0,86699.63
2015-02-05,2,南向_港股通滬,51.29,503.35,452.06,955.41,-10402.0,10402.0,29577.28
2015-02-05,5,合計,2833.28,5057.51,2224.23,7281.74,3806.0,9194.0,86699.63
2015-02-05,6,006,51.29,503.35,452.06,955.41,-10402.0,10402.0,29577.28
2015-02-06,1,北向_滬股通,160.66,2421.26,2260.6,4681.86,1540.0,11460.0,86860.29
2015-02-06,2,南向_港股通滬,-30.94,299.56,330.5,630.06,-10470.0,10470.0,29546.34
2015-02-06,5,合計,160.66,2421.26,2260.6,4681.86,1540.0,11460.0,86860.29
2015-02-06,6,006,-30.94,299.56,330.5,630.06,-10470.0,10470.0,29546.34
2015-02-09,1,北向_滬股通,1118.39,2567.4,1449.01,4016.41,1999.0,11001.0,87978.68
2015-02-09,2,南向_港股通滬,53.3,323.78,270.48,594.26,-10405.0,10405.0,29599.64
2015-02-09,5,合計,1118.39,2567.4,1449.01,4016.41,1999.0,11001.0,87978.68
2015-02-09,6,006,53.3,323.78,270.48,594.26,-10405.0,10405.0,29599.64
2015-02-10,1,北向_滬股通,1629.05,2729.98,1100.93,3830.91,1824.0,11176.0,89607.73
2015-02-10,2,南向_港股通滬,52.31,282.69,230.38,513.07,-10402.0,10402.0,29651.95
2015-02-10,5,合計,1629.05,2729.98,1100.93,3830.91,1824.0,11176.0,89607.73
2015-02-10,6,006,52.31,282.69,230.38,513.07,-10402.0,10402.0,29651.95
2015-02-11,1,北向_滬股通,1381.57,2707.25,1325.68,4032.93,1767.0,11233.0,90989.3
2015-02-11,2,南向_港股通滬,158.84,341.63,182.79,524.42,-10316.0,10316.0,29810.79
2015-02-11,5,合計,1381.57,2707.25,1325.68,4032.93,1767.0,11233.0,90989.3
2015-02-11,6,006,158.84,341.63,182.79,524.42,-10316.0,10316.0,29810.79
2015-02-12,1,北向_滬股通,1159.82,2622.14,1462.32,4084.46,1410.0,11590.0,92149.12
2015-02-12,2,南向_港股通滬,203.99,473.17,269.18,742.35,-10257.0,10257.0,30014.78
2015-02-12,5,合計,1159.82,2622.14,1462.32,4084.46,1410.0,11590.0,92149.12
2015-02-12,6,006,203.99,473.17,269.18,742.35,-10257.0,10257.0,30014.78
2015-02-13,1,北向_滬股通,1914.4,3320.05,1405.65,4725.7,2157.0,10843.0,94063.52
2015-02-13,2,南向_港股通滬,292.77,566.81,274.04,840.85,-10163.0,10163.0,30307.55
2015-02-13,5,合計,1914.4,3320.05,1405.65,4725.7,2157.0,10843.0,94063.52
2015-02-13,6,006,292.77,566.81,274.04,840.85,-10163.0,10163.0,30307.55
2015-02-16,1,北向_滬股通,123.78,2031.34,1907.56,3938.9,328.0,12672.0,94187.3
2015-02-16,5,合計,123.78,2031.34,1907.56,3938.9,328.0,12672.0,94187.3
2015-02-17,1,北向_滬股通,221.29,1445.17,1223.88,2669.05,403.0,12597.0,94408.59
2015-02-17,5,合計,221.29,1445.17,1223.88,2669.05,403.0,12597.0,94408.59
2015-02-25,1,北向_滬股通,1011.48,3252.4,2240.92,5493.32,1173.0,11827.0,95420.07
2015-02-25,2,南向_港股通滬,410.97,855.23,444.26,1299.49,-10038.0,10038.0,30718.52
2015-02-25,5,合計,1011.48,3252.4,2240.92,5493.32,1173.0,11827.0,95420.07
2015-02-25,6,006,410.97,855.23,444.26,1299.49,-10038.0,10038.0,30718.52
2015-02-26,1,北向_滬股通,-452.68,2909.54,3362.22,6271.76,-274.0,13274.0,94967.39
2015-02-26,2,南向_港股通滬,214.62,531.01,316.39,847.4,-10210.0,10210.0,30933.14
2015-02-26,5,合計,-452.68,2909.54,3362.22,6271.76,-274.0,13274.0,94967.39
2015-02-26,6,006,214.62,531.01,316.39,847.4,-10210.0,10210.0,30933.14
2015-02-27,1,北向_滬股通,672.47,2356.7,1684.23,4040.93,812.0,12188.0,95639.86
2015-02-27,2,南向_港股通滬,212.63,490.58,277.95,768.53,-10229.0,10229.0,31145.77
2015-02-27,5,合計,672.47,2356.7,1684.23,4040.93,812.0,12188.0,95639.86
